Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
100507562_at	100507562	LOC100507562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100507577_at	100507577	LOC100507577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100652824_at	100652824	LOC100652824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100862671_at	100862671	LOC100862671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100996345_at	100996345	LOC100996345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100996465_at	100996465	LOC100996465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100996535_at	100996535	LOC100996535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
101060027_at	102723553	LOC102723553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
101060181_at	101060181	LOC101060181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
148413_at	148413	LOC148413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
149950_at	149950	LOC149950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
151760_at	151760	LOC151760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
202181_at	202181	LOC202181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
254896_at	254896	LOC254896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284009_at	284009	LOC284009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284889_at	284889	LOC284889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
339803_at	339803	LOC339803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
388795_at	101928282	LOC101928282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
391322_at	391322	LOC391322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
399815_at	399815	LOC399815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
401242_at	401242	LOC401242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
401296_at	401296	LOC401296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
439951_at	439951	LOC439951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
440040_at	440040	LOC440040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
440173_at	440173	LOC440173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
440313_at	440313	LOC440313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
441493_at	441493	LOC441493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
442028_at	442028	LOC442028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
554223_at	554223	LOC554223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
642533_at	642533	LOC642533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
642852_at	642852	LOC642852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
643406_at	643406	LOC643406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
643797_at	643797	LOC643797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
643923_at	643923	LOC643923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
644794_at	644794	LOC644794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
646513_at	646513	LOC646513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
646813_at	646813	LOC646813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
650293_at	650293	LOC650293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
